tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AutoPay,monthly_to_total,tenure_to_total
1,0,0,1,29.85,29.85,0,0,1.0,0.03350083752093802
34,1,1,0,56.95,1889.5,0,0,0.03014024874305372,0.01799417835406192
2,1,0,0,53.85,108.15,1,0,0.49791955617198336,0.01849283402681461
45,0,1,2,42.3,1840.75,0,1,0.02297976368328127,0.024446557109873694
2,1,0,1,70.7,151.65,1,0,0.4662050774810419,0.013188262446422683
8,1,0,1,99.65,820.5,1,0,0.1214503351614869,0.009750152346130409
22,1,0,3,89.1,1949.4,0,1,0.04570637119113573,0.01128552375089771
10,0,0,0,29.75,301.9,0,0,0.09854256376283538,0.03312355084465055
28,1,0,1,104.8,3046.05,1,0,0.034405213309039576,0.009192232563483855
62,1,1,2,56.15,3487.95,0,1,0.016098281225361603,0.017775484166917533
13,1,0,0,49.95,587.45,0,0,0.08502851306494169,0.022129542939824665
16,1,2,3,18.95,326.8,0,1,0.05798653610771114,0.04895960832313341
58,1,1,3,100.35,5681.1,0,1,0.017663832708454348,0.010209290454313425
49,1,0,2,103.7,5036.3,1,1,0.02059051287651649,0.009729364811468737
25,1,0,1,105.5,2686.05,0,0,0.03927700526795853,0.009307347219895385
69,1,2,3,113.25,7895.15,0,1,0.014344249317619046,0.008739542630602332
52,1,1,0,20.65,1022.95,0,0,0.020186714893201035,0.05083337406520357
71,1,2,2,106.7,7382.25,0,1,0.01445358799823902,0.009617663991330556
10,1,0,3,55.2,528.35,1,1,0.10447619948897512,0.018926847733509982
21,1,0,1,90.05,1862.9,0,0,0.0483386118417521,0.011272746792635138
1,0,0,1,39.65,39.65,1,0,1.0,0.025220680958385876
12,1,1,2,19.8,202.25,0,1,0.09789864029666255,0.059332509270704575
1,1,0,0,20.15,20.15,1,0,1.0,0.04962779156327544
58,1,2,3,59.9,3505.1,0,1,0.017089384040398278,0.016547316766996664
49,1,0,3,59.6,2970.3,0,1,0.020065313268020066,0.016496650170016496
30,1,0,2,55.3,1530.6,0,1,0.036129622370312295,0.01960015680125441
47,1,0,1,99.35,4749.15,1,0,0.02091953296905762,0.00989650779613194
1,0,0,1,30.2,30.2,1,0,1.0,0.033112582781456956
72,1,2,3,90.25,6369.45,0,1,0.014169198282426269,0.011303958740550598
17,1,0,0,64.7,1093.1,1,0,0.059189461165492646,0.015552099533437015
71,1,2,3,96.35,6766.95,0,1,0.014238320070341882,0.010492171510059925
2,1,0,3,95.5,181.65,0,1,0.5257363060831268,0.011010184420589044
27,1,1,0,66.15,1874.45,0,0,0.03529035183653872,0.014404225239403557
1,1,0,2,20.2,20.2,0,1,1.0,0.04950495049504951
1,1,0,2,45.25,45.25,0,1,1.0,0.022099447513812154
72,1,2,2,99.9,7251.7,0,1,0.013776080091564738,0.00992870637229891
5,1,0,1,69.7,316.9,1,0,0.21994319974755447,0.01577784790154623
46,1,0,3,74.8,3548.3,0,1,0.021080517430882392,0.012963954569793986
34,1,0,1,106.35,3549.25,1,0,0.02996407691765866,0.00957948862435726
11,1,0,2,97.85,1105.4,1,1,0.08851999276280079,0.00995114890537362
10,1,1,0,49.55,475.7,0,0,0.10416228715577044,0.021021652301870926
70,1,2,3,69.2,4872.35,0,1,0.014202592178312313,0.014366783995402628
17,1,1,0,20.75,418.25,0,0,0.049611476389719064,0.04064554692169755
63,1,2,3,79.85,4861.45,0,1,0.016425140647337726,0.01295909656583941
13,1,0,1,76.2,981.45,0,0,0.07764022619593458,0.013245707881196188
49,1,0,1,84.5,3906.7,0,0,0.02162950828064607,0.01254255509765275
2,1,0,0,49.25,97.0,0,0,0.5077319587628866,0.020618556701030927
2,1,0,1,80.65,144.15,1,0,0.5594866458550122,0.013874436351023239
52,1,2,3,79.75,4217.8,0,1,0.01890796149651477,0.012328702167006496
69,1,2,3,64.15,4254.1,0,1,0.01507957029689006,0.016219646928845113
43,1,0,1,90.25,3838.75,0,0,0.023510257245197005,0.011201563008791925
15,1,0,3,99.1,1426.4,1,1,0.06947560291643297,0.010515984296130118
25,1,0,3,69.5,1752.65,0,1,0.03965423786837075,0.014264114341140558
8,1,0,3,80.65,633.3,1,1,0.12734880783199118,0.012632243802305385
60,1,1,3,74.85,4456.35,0,1,0.016796257026490288,0.013463933488168567
18,1,0,1,95.45,1752.55,1,0,0.054463496048614876,0.01027074833813586
63,1,1,3,99.65,6311.2,0,1,0.015789390290277604,0.009982253771073648
66,1,1,1,108.45,7076.35,0,0,0.015325697570074967,0.009326842227984765
34,1,2,3,24.95,894.3,0,1,0.02789891535278989,0.03801856200380186
